"Date","AMD.Open","AMD.High","AMD.Low","AMD.Close","AMD.Volume","AMD.Adjusted","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume","SBUX.Adjusted","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","ITUB.Open","ITUB.High","ITUB.Low","ITUB.Close","ITUB.Volume","ITUB.Adjusted","FB.Open","FB.High","FB.Low","FB.Close","FB.Volume","FB.Adjusted","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume","NVDA.Adjusted","F.Open","F.High","F.Low","F.Close","F.Volume","F.Adjusted","BAC.Open","BAC.High","BAC.Low","BAC.Close","BAC.Volume","BAC.Adjusted","T.Open","T.High","T.Low","T.Close","T.Volume","T.Adjusted","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted","VALE.Open","VALE.High","VALE.Low","VALE.Close","VALE.Volume","VALE.Adjusted","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"2016-10-01",6.95,7.53,6.24,7.23,869559700,7.23,57.41,61.369999,56.32,59.919998,614841800,55.224274,54.099998,54.459999,52.59,53.07,148546100,47.713181,28.1775,29.672501,28.07,28.385,2747657200,26.509037,5.496015,6.650179,5.47603,6.556746,519901910,4.952917,128.380005,133.5,126.75,130.990005,313284400,130.990005,17.129999,18.237499,15.925,17.790001,655156800,17.529333,12.06,12.53,11.6,11.74,657689600,9.288692,15.59,17.1,15.5,16.5,1723132300,14.7738,30.679758,30.996979,27.39426,27.787008,826357125,17.498962,86.940002,88.669998,82.989998,83.32,192041100,62.902748,5.54,7.05,5.39,6.92,616054700,5.017712,2164.330078,2169.600098,2114.719971,2126.149902,73196630000,2126.149902
"2016-11-01",7.32,9.23,6.22,8.91,990277900,8.91,59.970001,61.41,57.279999,60.259998,613056800,55.537632,53.139999,58.25,50.84,57.970001,237025700,52.118568,28.365,28.442499,26.02,27.629999,2886220000,25.80393,6.562242,6.699643,5.397087,5.68288,560392534,4.294769,131.410004,131.940002,113.550003,118.419998,644052900,118.419998,17.855,23.8125,16.645,23.049999,1276746400,22.712257,11.78,12.5,11.07,11.96,736856500,9.580647,16.559999,21.190001,16.280001,21.120001,3121614500,18.910465,27.92296,29.962236,27.265862,29.176737,662728997,18.671545,83.5,88.190002,82.760002,87.300003,233089000,65.907463,6.99,9.18,6.59,8.49,830333200,6.156124,2128.679932,2214.100098,2083.790039,2198.810059,88299760000,2198.810059
"2016-12-01",8.92,12.42,8.26,11.34,1155647500,11.34,60.110001,64.099998,58.799999,62.139999,513579700,57.6572,57.34,59.540001,55.400002,55.52,165872700,50.147083,27.592501,29.504999,27.0625,28.955,2435086800,27.180199,5.523495,5.715856,5.001374,5.649904,570147969,4.27164,118.379997,122.5,114,115.050003,408728400,115.050003,23.025,29.9825,21.192499,26.684999,1808222800,26.333366,12.23,13.2,12.08,12.13,709201400,9.716825,21.42,23.389999,21.02,22.1,2442427700,19.861355,29.176737,32.356495,28.821753,32.122356,563979119,20.556583,87.980003,93.220001,86.599998,90.260002,220435500,68.745514,8.8,9.34,7.54,7.62,628629900,5.525284,2200.169922,2277.530029,2187.439941,2238.830078,75251240000,2238.830078
"2017-01-01",11.42,11.69,9.42,10.37,878890400,10.37,62.790001,65.910004,61.950001,64.650002,493453500,59.98613,55.91,59,54.880001,55.220001,188760500,49.876122,28.950001,30.610001,28.690001,30.3375,2252488000,28.477961,5.781808,6.716131,5.781808,6.490794,457195047,4.981864,116.029999,133.139999,115.510002,130.320007,378958900,130.320007,26.1,27.9725,24.7775,27.295,1339684000,26.935329,12.2,13.27,12.13,12.36,879509200,9.90107,22.6,23.549999,22.01,22.639999,1917358300,20.346655,32.243202,32.5,30.39275,31.842899,609919931,20.377747,90.940002,91.339996,83.129997,83.889999,252514500,63.893852,7.89,10.96,7.84,10.18,563504900,7.425867,2251.570068,2300.98999,2245.129883,2278.870117,70483180000,2278.870117
"2017-02-01",10.9,15.55,10.81,14.46,1571999700,14.46,64.360001,65.239998,62.75,63.98,440744000,59.364464,55.490002,57.849998,53.810001,56.869999,196153900,51.36644,31.7575,34.369999,31.752501,34.247501,2299874400,32.148296,6.507282,7.502061,6.501786,7.029404,395885173,5.39736,132.25,137.179993,130.300003,135.539993,384700500,135.539993,27.645,30.23,23.924999,25.370001,1420678800,25.035698,12.45,12.77,12.22,12.53,586173700,10.199011,22.969999,24.950001,22.450001,24.68,1866619200,22.180014,31.933535,32.069485,30.521149,31.563444,493171199,20.510908,84,84.160004,80.760002,81.32,237345100,61.936436,10.49,11.7,9.53,10.35,581520000,7.549875,2285.590088,2371.540039,2271.649902,2363.639893,69162420000,2363.639893
"2017-03-01",15.08,15.09,12.38,14.55,1733593200,14.55,64.129997,66.190002,63.619999,65.860001,489169700,61.479313,57.27,58.66,54.09,58.389999,225544200,52.976986,34.4725,36.125,34.262501,35.915001,2246513600,33.859756,7.205276,7.216268,6.573234,6.633691,486236994,5.193933,136.470001,142.949997,136.080002,142.050003,342098600,142.050003,25.9475,27.5,23.7925,27.2325,1428896000,26.907568,12.66,12.75,11.41,11.64,952495700,9.474579,25.370001,25.799999,22.16,23.59,2336311300,21.200418,31.555891,32.250755,31.163141,31.382175,503222214,20.393114,81.699997,84.25,80.309998,82.010002,315475000,63.03315,10.67,10.8,8.7,9.5,643465100,6.929836,2380.129883,2400.97998,2322.25,2362.719971,81547770000,2362.719971
"2017-04-01",14.6,14.74,12.22,13.3,943383500,13.3,65.809998,69.139999,64.849998,68.459999,433191200,63.906353,58.279999,61.939999,57.380001,60.060001,181381100,54.49218,35.927502,36.365002,35.014999,35.912498,1493216400,33.857399,6.672163,6.897499,6.474306,6.760099,387228903,5.294973,141.929993,151.529999,138.809998,150.25,275586300,150.25,27.237499,27.4125,23.872499,26.075001,957257200,25.763876,11.64,11.7,11.08,11.47,779918200,9.336205,23.65,24.35,22.26,23.34,1824451100,21.03968,31.419941,31.548338,29.848944,29.932024,543834455,19.450756,82.019997,83.550003,80.300003,81.650002,192624700,62.756439,9.55,10.1,8.26,8.58,548939100,6.258736,2362.340088,2398.159912,2328.949951,2384.199951,65265670000,2384.199951
"2017-05-01",13.43,13.63,9.85,11.19,1716437000,11.19,68.68,70.739998,67.139999,69.839996,517218500,65.194557,60,63.610001,58.869999,63.610001,160468800,57.713081,36.275002,39.162498,36.067501,38.189999,2615927200,36.004562,6.804067,7.166804,5.507007,5.996153,735155327,4.698545,151.740005,153.600006,144.419998,151.460007,403586900,151.460007,26.184999,36.75,25.577499,36.087502,1920944400,35.656914,11.49,11.54,10.67,11.12,932923800,9.173302,23.52,24.309999,22.09,22.41,1637101600,20.201338,29.96979,29.984894,28.285498,29.101208,618547646,19.211121,81.510002,83.230003,80.470001,80.5,220122400,61.872551,8.58,8.9,7.47,8.37,674170400,6.310445,2388.5,2418.709961,2352.719971,2411.800049,79607170000,2411.800049
"2017-06-01",11.25,14.67,10.57,12.48,2208152100,12.48,70.239998,72.889999,68.089996,68.93,629716800,64.713928,63.509998,64.870003,57.959999,58.310001,170396300,53.122349,38.2925,38.994999,35.549999,36.005001,2736712400,34.084713,6.034625,6.161033,5.803792,6.073097,395849510,4.760757,151.75,156.5,144.559998,150.979996,414757100,150.979996,36.247501,42.125,35.5275,36.139999,2344552000,35.746391,11.25,11.54,10.91,11.19,850617600,9.231047,22.48,24.67,22.07,24.26,1768824400,21.94084,29.214502,29.735649,28.353474,28.496979,578628648,18.812241,80.370003,83.690002,79.260002,80.730003,303836700,62.635273,8.38,8.93,7.65,8.75,564163900,6.59694,2415.649902,2453.820068,2405.699951,2423.409912,81002490000,2423.409912
"2017-07-01",12.57,15.65,12.13,13.61,1710461400,13.61,69.330002,74.419998,68.019997,72.699997,469851200,68.253342,58.900002,59.66,53.41,53.98,221103700,49.177567,36.220001,38.497501,35.602501,37.182499,1688047600,35.199413,6.144545,6.57873,5.974169,6.545754,383993467,5.133629,151.720001,175.490005,147.800003,169.25,419907600,169.25,36.262501,42.482498,34.645,40.627499,1549101600,40.185013,11.36,11.83,10.95,11.22,697037000,9.255795,24.459999,25.110001,23.610001,24.120001,1385076400,21.814224,28.580059,29.962236,27.046827,29.456194,751078720,19.445465,80.790001,82.489998,78.269997,80.040001,201333900,62.09993,8.87,10.08,8.56,10.03,567528300,7.561978,2431.389893,2484.040039,2407.699951,2470.300049,63169400000,2470.300049
